Title,Resource type,Publication date,Description,Author/Source,Citation,City/County,State or Territory,Country,Sectors,Additional topic areas,Drivers of health,HIA decision-making levels/Geographic Scope,Community types,Organization types,Affected populations,Research methods,Outcome statement,Funding source,Status
Advanced Metering Infrastructure ,HIA reports,"2012, April","An HIA examining the health effects of a proposal by Commonwealth Edison—the local electric utility—to implement “smart metering” in western metropolitan Chicago, with a focus on how the technology could alter the risk of potentially life-threatening exposure to heat or cold.","National Center for Medical Legal Partnership at Boston Medical Center, Citizens Utility Board",,Chicago,Illinois,,Energy,"Utilities,Programs","Clean air and water,Safe, affordable, and healthy housing",State,Urban,Nonprofit organization,"Older adults,Economically disadvantaged,Individuals with disabilities","Literature review,Survey,Quantitative research,Qualitative research",Yes,Health Impact Project grantee,Completed
Chicago Vacant Buildings Ordinance,HIA reports,"2011, January",A mental health impact assessment of proposed amendments to Chicago’s Vacant Buildings Ordinance.,Institute on Social Exclusion at the Adler School of Professional Psychology,,Englewood,Illinois,,Housing,"Mental/behavioral health,Regulation","Safe, affordable, and healthy housing,Family and social support,Income and wealth",Local,Urban,Educational institution,Mental illness,"Literature review,Qualitative research,Quantitative research",No,Other funding,Completed
Englewood Line Greenway,HIA reports,"2016, September","An HIA that considered how a proposed greenway trail, urban agricultural zone, and other land use elements along a 2-mile corridor in Chicago’s Englewood neighborhood could affect safety, access to and use of green space, traffic-related air pollution, brownfields and vacant lots, and economic and workforce development.",Illinois Public Health Institute; Chicago Department of Public Health,,Chicago,Illinois,,"Planning and zoning,Transportation","Active transportation,Brownfields and Superfund sites,Economic development,Parks and green spaces,Workforce development","Clean air and water,Community safety,Employment,Diet and physical activity,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities",Local,Urban,Nonprofit organization,"Children,Economically disadvantaged,Older adults,Individuals with disabilities,Racial and ethnic minorities","Literature review,Qualitative research,Quantitative research,Primary research",No,Health Impact Project grantee,Completed
"Hardest Hit Fund Demolition and Housing Stability Project-Detroit, Michigan",HIA reports,"2013, January","An HIA to inform identification of neighborhoods in Detroit that will receive assistance from the Hardest Hit Fund, a federal program that provides funding to develop locally tailored foreclosure prevention solutions.",Institute for Population Health,,Detroit,Michigan,,Housing,"Economic development,Financing,Programs","Employment,Income and wealth,Safe, affordable, and healthy housing",Local,Urban,Nonprofit organization,Economically disadvantaged,,No,Other funding,In progress
Healthy Neighborhoods for a Healthy Detroit,HIA reports,"2015, October","A health impact assessment to inform the Detroit Future City’s Strategic Framework, which is intended to guide land-use planning for the city.",Detroit Community-Academic Urban Research Center,,Detroit,Michigan,,Planning and zoning,"Bridges and roads,Programs,Reform","Clean air and water,Community safety,Family and social support,Income and wealth,Safe, affordable, and healthy housing",Local,Urban,Nonprofit organization,"Economically disadvantaged,Children","Primary research,Literature review,Qualitative research",No,Health Impact Project grantee,Completed
Industrial Sand Mining in Western Wisconsin,HIA reports,"2016, January","An HIA to inform county, municipal, township, and tribal decisions related to mining silica sand for industrial use.","Institute for Wisconsin’s Health, Inc.",,,Wisconsin,,Industrial,"Economic development,Production","Clean air and water,Cultural well-being,Income and wealth",Regional,"Rural,Tribal",Nonprofit organization,"Children,Economically disadvantaged,Older adults","Primary research,Qualitative research",Yes,Health Impact Project grantee,Completed
Transitional Jobs Program,HIA reports,"2013, January","An HIA to inform a decision on the status of the Wisconsin Transitional Jobs Program, which focused on immediate health effects of changes in income related to employment, such as diet, alcohol and tobacco use, and family cohesion, as well as long-term outcomes including chronic disease, mental health, and child well-being.","University of Wisconsin, Population Health Institute",,,Wisconsin,,Labor and employment,"Programs,Wages","Alcohol, tobacco, and drug use,Diet and physical activity,Family and social support,Income and wealth",State,"Urban,Suburban,Rural",Educational institution,"Economically disadvantaged,Racial and ethnic minorities","Primary research,Literature review",No,Other funding,Completed
Treatment Alternatives to Prison,HIA reports,"2012, November",An HIA that projected the potential health effects of increased funding for treatment and other alternatives to incarceration in Wisconsin.,"WISDOM, Human Impact Partners",,,Wisconsin,,Criminal justice,"Addictive substances and behaviors,Mental/behavioral health,Treatment alternatives","Access to services/medical care,Alcohol, tobacco, and drug use,Community safety,Family and social support,Incarceration",State,"Urban,Suburban,Rural",Nonprofit organization,Current/former correctional population,"Primary research,Focus groups,Qualitative research,Quantitative research",No,Other funding,Completed
Excessive Revocation in Wisconsin,HIA reports,"2016, December",An HIA on the health effects of Wisconsin’s prison revocation system—reincarceration for violations of community supervision—on individuals and families.,"Human Impact Partners, WISDOM, Ex-Prisoners Organizing",,,Wisconsin,,Criminal justice,"Mental/behavioral health,Reform","Community safety,Employment,Family and social support,Incarceration,Safe, affordable, and healthy housing",State,,Nonprofit organization,"Current/former correctional population,Racial and ethnic minorities","Focus groups,Literature review,Primary research,Qualitative research",No,Other funding,Completed
The Long Road Home: Decreasing Barriers to Public Housing for People With Criminal Records,HIA reports,"2016, May","HIA that assessed the health and equity impacts of public housing admissions policies that exclude people with a criminal history, using the Oakland Housing Authority in California as a case study.",Human Impact Partners; Ella Baker Center for Human Rights,,Oakland,California,,"Criminal justice,Housing",Mental/behavioral health,"Adverse childhood experiences,Community safety,Safe, affordable, and healthy housing,Incarceration,Income and wealth,Family and social support",Local,Urban,Nonprofit organization,"Economically disadvantaged,Racial and ethnic minorities,Homeless,Current/former correctional population","Qualitative research,Literature review",Yes,Other funding,Completed
California Cap and Trade Rulemaking,HIA reports,"2010, January",An HIA to inform the development of new “cap and trade” regulations by the California Air Resources Board.,"California Department of Public Health, California Public Health Institute",,,California,,Energy,"Regulation,Resilience and sustainability,Economic development,Workforce development","Clean air and water,Income and wealth,Employment",State,"Urban,Suburban,Rural",Government agency,"Children,Economically disadvantaged,Older adults,Racial and ethnic minorities",Quantitative research,No,Health Impact Project grantee,Completed
Cuyahoga County Transportation for Livable Communities Initiative,HIA reports,2012,"An HIA on the Transportation for Livable Communities Initiative planning project for the key intersections of the 4-mile stretch of Euclid Avenue in Euclid, Ohio.",Cuyahoga County Board of Health,,Cuyahoga County,Ohio,,"Planning and zoning,Transportation","Active transportation,Land-use planning,Bridges and roads","Access to healthy food,Safe and accessible active transportation routes,Safe street infrastructure,Employment,Income and wealth,Access to services/medical care,Education",County,Urban,Government agency,,,No,Health Impact Project grantee,Completed
Eastside Greenway Project,HIA reports,2016,"A health impact assessment to inform and influence planning and implementation decisions related to the establishment of a trail and greenway network traversing diverse communities on Cuyahoga County, Ohio’s eastside.","Cleveland Planning Commission, Cuyahoga County Board of Health",,Eastside of Cuyahoga County,Ohio,,"Planning and zoning,Transportation","Active transportation,Economic development,Land-use planning,Parks and green spaces","Access to healthy food,Access to services/medical care,Clean air and water,Community safety,Diet and physical activity,Family and social support,Safe and affordable parks and recreational facilities",Local,"Urban,Suburban",Government agency,"Chronic health conditions,Economically disadvantaged","Literature review,Qualitative research,Quantitative research",No,Health Impact Project grantee,Completed
Grade Retention:  A Case Study in Cincinnati Public Schools,HIA reports,"2013, March",An HIA studying the Cincinnati Public Schools’ pending policy on grade retention.,Cincinnati Health Department,,Cincinnati,Ohio,,Education,"Addictive substances and behaviors,Mental/behavioral health","Adverse childhood experiences,Alcohol, tobacco, and drug use,Education,Employment",Local,Urban,Government agency,"Children,Chronic health conditions","Literature review,Quantitative research",No,Other funding,Completed
Demolition of a Lead Painted Bridge Adjacent to a Residential Area ,HIA reports,"2013, February","An HIA initiated by community concern over a possible increase in ambient lead in the air and ground dust from the demolition of a lead-painted bridge in Cincinnati, Ohio.",Cincinnati Health Department,,Cincinnati,Ohio,,"Planning and zoning,Other","Bridges and roads,Land-use planning,Schools",Clean air and water,Local,Urban,Government agency,"Children,Economically disadvantaged","Literature review,Primary research",No,Other funding,Completed
Interstate 75 Focus Area Study ,HIA reports,"2011, May","An HIA reviewing the final recommendations of a plan for infrastructure improvements to a major transportation corridor in Cincinnati, Ohio.",Cincinnati Health Department,,Cincinnati,Ohio,,Transportation,"Bridges and roads,Economic development,Parks and green spaces,Public transit","Access to services/medical care,Clean air and water,Safe, affordable, and healthy housing,Safe and accessible active transportation routes,Safe street infrastructure",Local,Urban,Government agency,,,No,Other funding,Completed
Ohio Housing Inspections,HIA reports,"2014, May",An HIA on proposed modifications to housing inspection programs in Ohio that would reduce the number of inspections of affordable housing units by improving interagency coordination.,Ohio Housing Finance Agency,,Columbus,Ohio,,Housing,Mental/behavioral health,"Safe, affordable, and healthy housing",State,"Urban,Suburban,Rural",Government agency,"Children,Economically disadvantaged,Racial and ethnic minorities","Literature review,Primary research,Qualitative research",No,Health Impact Project grantee,Completed
PlanOKC HIA,HIA reports,"2014, May",An HIA of Oklahoma City’s comprehensive plan.,Oklahoma City Planning Department,,Oklahoma City,Oklahoma,,Planning and zoning,"Active transportation,Land-use planning,Long-range planning,Schools,Water","Access to healthy food,Access to services/medical care,Clean air and water,Community safety,Diet and physical activity,Family and social support,Safe, affordable, and healthy housing,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities",Local,Urban,Government agency,"Children,Economically disadvantaged,Individuals with disabilities,Linguistically isolated","Literature review,Qualitative research,Quantitative research",No,Other funding,Completed
Central Oregon Regional Transit,HIA reports,2012,An HIA of Central Oregon’s regional transit system.,"Central Oregon Intergovernmental Council, Commute Options, Crook County Health Services, Warm Springs Tribe, Deschutes County Health Services",,,Oregon,,"Planning and zoning,Transportation","Food and nutrition,Land-use planning","Diet and physical activity,Access to services/medical care,Employment,Safe street infrastructure,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities",Regional,"Urban,Suburban,Rural",Government agency,"Children,Economically disadvantaged,Older adults,Individuals with disabilities","Literature review,Primary research",Yes,Other funding,Completed
Transportation Policy Recommendations in the Eugene Climate and Energy Action Plan,HIA reports,2010,"An HIA that explored the health effects related to physical activity, air pollution, and safety of seven transportation recommendations made in the Eugene (Oregon) Climate and Energy Action Plan.",Upstream Public Health; City of Eugene; Lane County Health Department; Oregon Public Health Institute,,Eugene,Oregon,,Transportation,"Regulation,Resilience and sustainability,Active transportation,Public transit","Safe and accessible active transportation routes,Safe and affordable public transit,Safe street infrastructure,Clean air and water",Local,Urban,Nonprofit organization,Economically disadvantaged,Literature review,No,Other funding,Completed
"Traffic Speed Impacts on State Highway 99 in Corvallis, Oregon",HIA reports,"2013, August","An HIA to assess potential impacts of a 25 mph  speed limit on a one-mile stretch of Highway 99W/South Third Street in south Corvallis, Oregon.",Benton County Health Services,,Corvallis,Oregon,,Transportation,Active transportation,"Diet and physical activity,Safe and accessible active transportation routes,Safe street infrastructure",Local,Urban,Government agency,Children,"Primary research,Literature review",No,Other funding,Completed
Tobacco Retail Licensing Policy,HIA reports,"2015, October",An HIA that examined the potential health equity effects on Multnomah County (Oregon) communities of a potential tobacco retail license policy based on proposed state legislation and made recommendations about how to prevent youth access to tobacco and nicotine products while supporting small retailers and community mental health.,"Upstream Public Health, Oregon Health Equity Alliance",,Multnomah,Oregon,,Consumer products,"Legislation,Addictive substances and behaviors,Regulation","Alcohol, tobacco, and drug use,Income and wealth,Employment",County,"Urban,Suburban,Rural",Nonprofit organization,"Economically disadvantaged,Racial and ethnic minorities","Focus groups,Quantitative research,Qualitative research,Literature review",No,Other funding,Completed
Sellwood Bridge Replacement,HIA reports,2011,"An HIA addressing the proposed Sellwood Bridge Replacement project in Multnomah County, Oregon.",Multnomah County Health Department,,Portland,Oregon,,Other,Bridges and roads,"Clean air and water,Noise,Safe and accessible active transportation routes,Safe street infrastructure",Regional,Urban,Government agency,Chronic health conditions,Literature review,No,Other funding,Completed
SE McLoughlin Boulevard Active Transportation Road Safety Audit,HIA reports,"2014, August","An HIA of a road safety audit conducted on a half-mile section of McLoughlin Boulevard in Jennings Lodge, Oregon, that examined and scored how the audit could affect opportunities for physical activity, exposure to air and noise pollutants, and access to health-supportive resources.","Oregon Public Health Institute, Clackamas County Public Health, Clackamas County Department of Transportation and Development",,Jennings Lodge,Oregon,,Transportation,"Bridges and roads,Financing,Programs","Access to services/medical care,Clean air and water,Diet and physical activity,Employment,Noise,Safe and accessible active transportation routes,Safe street infrastructure",Local,Urban,Nonprofit organization,"Children,Economically disadvantaged","Qualitative research,Literature review,Primary research",No,Other funding,Completed
Houston Transit-Oriented Development,HIA reports,"2012, June","An HIA to examine the health effects of possible neighborhood development patterns near a planned station on a 30-mile, five-corridor light rail expansion.","Texas Southern University, Houston Tomorrow, Baylor College of Medicine",,Houston,Texas,,"Housing,Planning and zoning,Transportation","Active transportation,Economic development,Public transit,Siting","Access to healthy food,Access to services/medical care,Education,Employment,Safe, affordable, and healthy housing,Safe and accessible active transportation routes,Safe and affordable public transit",Local,Urban,Educational institution,"Chronic health conditions,Economically disadvantaged,Children,Racial and ethnic minorities,Uninsured","Literature review,Primary research,Qualitative research",No,Health Impact Project grantee,Completed
Replacing Public Housing Units Destroyed by Hurricane Ike,HIA reports,"2014, April","An HIA to provide recommendations on the siting and upgrading of public housing to replace units in Galveston, Texas, that were destroyed by Hurricane Ike in 2008.","The Georgia Health Policy Center and Department of Sociology at Georgia State University, Center to Eliminate Health Disparities University of Texas Medical Branch",,Galveston,Texas,,"Housing,Planning and zoning","Siting,Land-use planning","Safe, affordable, and healthy housing,Safe and affordable parks and recreational facilities,Education,Access to services/medical care,Access to healthy food,Alcohol, tobacco, and drug use,Safe street infrastructure,Clean air and water,Safe and affordable public transit",Local,Urban,Educational institution,Homeless,"Quantitative research,Literature review,Primary research,Qualitative research",Yes,Health Impact Project grantee,Completed
"School Siting Policies in Austin, Texas",HIA reports,In progress,"An HIA to explore the health implications of school siting, with a focus on how location and design choices affect how children get to school.","University of Texas at Austin Southwest Region University Transportation Center, and CDC Division of Nutrition and Physical Activity",,Austin,Texas,,Education,"Active transportation,Schools,Siting","Diet and physical activity,Education,Safe and accessible active transportation routes",Local,Urban,Educational institution,Children,"Quantitative research,Qualitative research",No,Other funding,In progress
Texas Water and Sanitation,HIA reports,"2014, June","An HIA to examine the effect of proposed water and sanitation improvement projects in Vinton, Texas.",The University of Texas at El Paso,,Vinton,Texas,,Natural resources management,"Water,Sanitation","Clean air and water,Disease vectors,Income and wealth",Local,Rural,Educational institution,"Economically disadvantaged,Racial and ethnic minorities","Primary research,Quantitative research,Qualitative research,Survey,Focus groups",Yes,Health Impact Project grantee,Completed
Rochester Waterfront Revitalization Plan,HIA reports,"2013, May","An HIA to help inform a waterfront revitalization plan in Rochester, New York.",University of Rochester,,Rochester,New York,,"Community development,Planning and zoning","Active transportation,Land-use planning,Ports and waterways,Redevelopment","Clean air and water,Diet and physical activity,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities",Local,Urban,Educational institution,"Children,Chronic health conditions,Older adults,Economically disadvantaged,Racial and ethnic minorities","Literature review,Primary research,Qualitative research",No,Health Impact Project grantee,Completed
Brownsville Neighborhood,HIA reports,2015,"A rapid HIA to evaluate potential effects of changes to social cohesion, access to goods and services, and community safety resulting from three proposed projects in the Brownsville neighborhood of Brooklyn, New York: a community culinary center, incubation lab, and entrepreneurship lab.",Made in Brownsville,,Brooklyn,New York,,Planning and zoning,"Economic development,Planning,Programs,Redevelopment","Access to healthy food,Access to services/medical care,Safe and affordable parks and recreational facilities,Safe and accessible active transportation routes,Community safety,Family and social support",Local,Urban,Nonprofit organization,Children,"Primary research,Focus groups,Qualitative research,Quantitative research,Literature review",No,Other funding,Completed
East Harlem Neighborhood Plan,HIA reports,2016,A rapid HIA to examine the potential health effects of the East Harlem Neighborhood Plan’s affordable housing and zoning recommendations.,New York Academy of Medicine,,New York,New York,,"Housing,Planning and zoning","Parks and green spaces,Planning","Diet and physical activity,Safe and affordable parks and recreational facilities,Safe, affordable, and healthy housing",Local,Urban,Nonprofit organization,"Economically disadvantaged,Racial and ethnic minorities","Literature review,Primary research,Qualitative research,Quantitative research,Survey",No,Other funding,Completed
Funding for New York State’s Correctional Education Programs,HIA reports,"2015, May",An HIA to inform the New York Legislature’s consideration of a bill to repeal a ban on providing financial aid for postsecondary education to incarcerated persons through the state’s Tuition Assistance Program.,"Human Impact Partners, in collaboration with Education from the Inside Out",,New York,New York,,"Criminal justice,Education","Financing,Legislation,Mental/behavioral health,Programs","Community safety,Education,Family and social support,Incarceration",Local,,Nonprofit organization,Current/former correctional population,"Focus groups,Literature review,Primary research",No,Health Impact Project grantee,Completed
Milton U.S. 7 Corridor,HIA reports,"2015, May","An HIA of the reconfiguration of a three-mile corridor of U.S. Route 7 in Milton, Vermont, explored potential health effects associated with physical activity, access to services, and injury and safety.","Burlington District Office, Vermont Department of Health; Chittenden County Regional Planning Commission; Milton Community Youth Coalition; Town of Milton; Milton Family Community Center; Milton School District",,Milton,Vermont,,"Planning and zoning,Transportation","Active transportation,Bridges and roads,Planning","Access to services/medical care,Diet and physical activity,Safe street infrastructure",Local,Urban,Government agency,"Economically disadvantaged,Older adults,Individuals with disabilities","Qualitative research,Quantitative research,Literature review,Focus groups",Yes,Other funding,Completed
"North Avenue Corridor in Burlington, Vermont",HIA reports,"2014, June","A rapid HIA of proposed street improvements on a 2.8-mile segment of North Avenue in Burlington, Vermont, which recommended that bike facilities be physically separated from the roadway to allow for safer travel and that pedestrian-scale details such as trees and lighting be included to increase safety and amplify traffic-calming effects.","Vermont Department of Health, Burlington District Office",,Burlington,Vermont,,Transportation,"Active transportation,Bridges and roads,Mental/behavioral health","Access to services/medical care,Diet and physical activity,Safe and accessible active transportation routes",Local,Urban,Government agency,"Children,Chronic health conditions,Economically disadvantaged,Older adults,Individuals with disabilities,Linguistically isolated,Mental illness","Literature review,Qualitative research",No,Other funding,Completed
PlanBTV South End,HIA reports,"2015, August","An HIA to determine the potential effects on chronic diseases and mental health of proposed development decisions in planBTV, a long-range plan for Burlington, Vermont’s South End neighborhood, with a focus on disparate impacts to vulnerable populations.",Vermont Department of Health; city of Burlington,,Burlington,Vermont,,Planning and zoning,"Active transportation,Land-use planning,Long-range planning,Parks and green spaces","Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities,Safe street infrastructure",Local,Urban,Government agency,"Economically disadvantaged,Racial and ethnic minorities","Primary research,Quantitative research,Literature review,Qualitative research",No,Other funding,Completed
Vermont Paid Sick Leave,HIA reports,"2015, February","An HIA of a proposed sick leave policy that would provide Vermont workers with paid health care time for every 30 hours worked, up to 56 hours annually.",Vermont Department of Health,,,Vermont,,Labor and employment,"Human resources policies, benefits,Food and nutrition,Legislation,Wages","Employment,Income and wealth",State,"Urban,Suburban,Rural",Government agency,"Children,Economically disadvantaged","Primary research,Literature review",Yes,Other funding,Completed
North Birmingham Community Framework Plan,HIA reports,2014,"A rapid HIA to support implementation of the North Birmingham (Alabama) Community Framework Plan that examined potential health effects related to employment, healthy food, health care, connectivity, and freight.",School of City and Regional Planning at the Georgia Institute of Technology,,Birmingham,Alabama,,Planning and zoning,"Economic development,Land-use planning,Public transit,Workforce development","Access to healthy food,Access to services/medical care,Safe and affordable public transit,Safe street infrastructure",Local,Urban,Educational institution,"Children,Economically disadvantaged,Older adults","Primary research,Qualitative research,Literature review,Focus groups",No,Other funding,Completed
Donlin Gold Mine,HIA reports,In progress,An HIA to review potential human health effects related to the proposed Donlin Gold Mine in Alaska.,"State of Alaska Department of Health and Social Services, Alaska Department of Natural Resources, Alaska Department of Fish and Game, Alaska Department of Environmental Conservation, Alaska Native Tribal Health Consortium, Yukon-Kuskokwim Health Corporation",,Anchorage,Alaska,,"Industrial,Natural resources management","Minerals,Siting",Clean air and water,Federal,"Tribal,Rural",Government agency,,,No,Other funding,In progress
Red Dog Mine Extension Aqqaluk Project,HIA reports,2009,"An HIA integrated into a federal environmental impact statement for a proposal to expand the Red Dog Mine in Alaska, with a focus on potential effects on the region’s Alaska Native communities.",U.S. Environmental Protection Agency,,,Alaska,,"Industrial,Natural resources management","Minerals,Sanitation","Access to healthy food,Clean air and water,Education,Employment,Income and wealth",State,"Tribal,Rural",Government agency,Racial and ethnic minorities,Quantitative research,Yes,Other funding,Completed
Point Thomson Oil and Gas Leasing,HIA reports,2011,"An HIA and environemntal impact study to identify health effects associated with the proposed ExxonMobil development of the Thomson Sand reservoir in North Slope, Alaska.",State of Alaska HIA Program Department of Health and Social Services,,Thomson Sand reservoir,Alaska,,"Energy,Natural resources management","Production,Gas and oil,Siting","Access to healthy food,Cultural well-being,Safe street infrastructure",Federal,Rural,Government agency,Racial and ethnic minorities,"Literature review,Qualitative research",No,Other funding,Completed
Pebble Mine,HIA reports,2010,"An HIA of the proposed Pebble Mine, a copper and gold mine in the Bristol Bay region of Alaska.",University of Alaska,,,Alaska,,Natural resources management,"Economic development,Minerals,Siting","Access to healthy food,Access to services/medical care,Clean air and water,Cultural well-being,Employment",Federal,Rural,Educational institution,Racial and ethnic minorities,,No,Other funding,Completed
Outer Continental Shelf Oil and Gas Leasing Program,HIA reports,2007,"An HIA that addressed federal plans for offshore oil and gas leasing, with a focus on the potential effects on Alaska Native communities in the remote North Slope region of Alaska.",U.S. Mineral Management Service,,,Alaska,,"Energy,Natural resources management","Production,Gas and oil","Alcohol, tobacco, and drug use,Clean air and water,Cultural well-being",Federal,,Government agency,Racial and ethnic minorities,,Yes,Other funding,Completed
Mass Transit Funding in California,HIA reports,2008,"An HIA examining how proposed cuts to transit funding in California could affect public health through air, water, and noise pollution; economics; land use; physical activity; time spent on transit; and social capital.",UCLA School of Public Health,,,California,,"Planning and zoning,Tax and budget policy,Transportation","Land-use planning,Public transit","Clean air and water,Diet and physical activity,Family and social support,Noise,Safe and affordable public transit,Safe street infrastructure",State,"Urban,Suburban,Rural",Educational institution,"Children,Economically disadvantaged,Older adults,Individuals with disabilities","Literature review,Qualitative research,Quantitative research",Yes,Other funding,Completed
Marin Housing Code Enforcement Policies,HIA reports,2012,"A health impact assessment of proposed changes to the housing code enforcement policy in three jurisdictions in California, unincorporated Marin County, Novato, and San Rafael, that examined how common complaints such as water incursion, pest infestations, mold and dampness, electrical problems, and heating malfunctions or lack of heating affect residents’ quality of life and health outcomes.","Human Impact Partners, Legal Aid of Marin",,Marin,California,,Housing,"Utilities,Regulation","Disease vectors,Income and wealth,Safe, affordable, and healthy housing",County,"Urban,Suburban,Rural",Nonprofit organization,"Children,Economically disadvantaged,Older adults,Linguistically isolated,Racial and ethnic minorities","Focus groups,Literature review,Primary research,Qualitative research,Quantitative research",No,Other funding,Completed
Lobos CO2 Pipeline,HIA reports,"2015, June","An HIA of a proposed carbon dioxide pipeline in Torrance County, New Mexico, which found that the project offered few health, well-being, or economic benefits.","Human Impact Partners, New Mexico Department of Health, Partnership for a Healthy Torrance County",,Torrance County,New Mexico,,"Energy,Natural resources management,Planning and zoning","Economic development,Gas and oil,Land-use planning,Mental/behavioral health,Production","Clean air and water,Cultural well-being,Income and wealth",County,Rural,Nonprofit organization,"Economically disadvantaged,Racial and ethnic minorities","Literature review,Focus groups,Primary research,Qualitative research",Yes,Other funding,Completed
MacArthur BART Transit Village,HIA reports,2007,"An HIA that addressed the health implications of the MacArthur Transit Village, a proposed development project that includes multifamily housing, retail space, and parking, near the MacArthur Bay Area Rapid Transit Station in Oakland, California.",University of California Berkeley Health Impact Group,,Oakland,California,,"Planning and zoning,Housing","Economic development,Land-use planning,Parks and green spaces,Public transit,Schools","Access to services/medical care,Clean air and water,Community safety,Diet and physical activity,Employment,Family and social support,Safe, affordable, and healthy housing,Safe and affordable parks and recreational facilities,Safe and affordable public transit,Safe street infrastructure",Local,Urban,Educational institution,"Children,Chronic health conditions,Economically disadvantaged,Older adults,Individuals with disabilities","Primary research,Qualitative research,Quantitative research",No,Other funding,Completed
Mountain View Material Recovery Facility,HIA reports,"2011, March","A rapid HIA to inform the permitting process for a “material recovery facility” that examined the potential effects of the proposed development on air and noise pollution, employment and economic development, and traffic congestion.",Bernalillo County Place Matters Team,,Bernalillo County,New Mexico,,Planning and zoning,"Land-use planning,Siting","Clean air and water,Disease vectors,Employment,Noise",County,Urban,Nonprofit organization,"Children,Racial and ethnic minorities","Literature review,Qualitative research,Primary research",No,Other funding,Completed
Los Angeles Living Wage Ordinance,HIA reports,2003,"An HIA that addressed the health implications of the Los Angeles Living Wage Ordinance, which gave employers the ability to choose whether to provide health insurance or additional income.","UCLA School of Public Health Health, Partnership for Prevention",,Los Angeles,California,,Labor and employment,"Human resources policies, benefits,Legislation,Wages",Income and wealth,Local,Urban,Educational institution,"Economically disadvantaged,Uninsured",Quantitative research,No,Other funding,Completed
Long Beach Housing Element,HIA reports,"2013, August","An HIA of the housing element of the Long Beach, California, General Plan.",Legal Aid Foundation of Los Angeles; Housing Long Beach; Human Impact Partners,,Long Beach,California,,"Housing,Planning and zoning","Planning,Siting","Access to healthy food,Income and wealth,Safe, affordable, and healthy housing,Safe and affordable public transit",Local,Urban,Nonprofit organization,"Economically disadvantaged,Racial and ethnic minorities","Primary research,Qualitative research,Literature review",No,Other funding,Completed
Injury Liability Protection for Recreational Physical Activity,HIA reports,2004,A rapid HIA that examined the potential health effects of a proposed legislative initiative to provide protection against liability for facilities and services promoting physical activity in California.,UCLA Health Impact Assessment Project,,,California,,Planning and zoning,"Planning,Programs,Regulation,Legislation",Safe and affordable parks and recreational facilities,State,,Educational institution,"Children,Chronic health conditions",,No,Other funding,Completed
Kern County Regional Transportation Plan and Sustainable Communities Strategies,HIA reports,"2014, May","An HIA to inform the development of regional transportation plans and sustainable communities strategies that will guide local land use, transportation, and other decisions important to greenhouse gas emissions in Kern County, California.","California Rural Legal Assistance, Inc.",,Kern County,California,,"Planning and zoning,Transportation","Active transportation,Food and nutrition,Legislation,Mental/behavioral health,Planning","Access to healthy food,Access to services/medical care,Clean air and water,Diet and physical activity,Safe and affordable public transit,Noise,Safe street infrastructure",County,"Urban,Rural",Nonprofit organization,"Chronic health conditions,Economically disadvantaged,Older adults,Racial and ethnic minorities",Quantitative research,No,Health Impact Project grantee,Completed
Jewish Home of San Francisco Pedestrian Infrastructure,HIA reports,2012,"An HIA to analyze pedestrian safety conditions around the proposed Jewish Home of San Francisco, a senior housing and retail project in the Outer Mission/Excelsior neighborhood.",San Francisco Department of Public Health,,San Francisco,California,,"Housing,Transportation","Active transportation,Planning,Siting","Diet and physical activity,Safe street infrastructure",Local,Urban,Government agency,Older adults,"Qualitative research,Literature review",Yes,Other funding,Completed
Measure H: Preventing and Reducing Homelessness in Los Angeles County,HIA reports,"2017, February","An HIA that evaluated the potential health impacts of Measure H, a ballot initiative that would increase the Los Angeles County sales tax to fund a series of programs to prevent and remediate homelessness.",LA County Department of Public Health,,Los Angeles County,California,,"Housing,Tax and budget policy","Financing,Mental/behavioral health,Programs","Access to services/medical care,Employment,Incarceration,Safe, affordable, and healthy housing",County,Urban,Government agency,"Children,Current/former correctional population,Economically disadvantaged,Homeless,Mental illness,Racial and ethnic minorities","Primary research,Literature review,Qualitative research",No,Other funding,Completed
Jack London Senior Housing,HIA reports,"2007, January","An HIA that addressed the health implications of a proposed residential and commercial development at the Jack London Gateway in Oakland, California.","Human Impact Partners, West Oakland Environmental Indicators Project, San Francisco Department of Public Health",,Oakland,California,,Housing,Siting,"Diet and physical activity,Clean air and water,Safe, affordable, and healthy housing,Community safety,Noise,Safe street infrastructure,Access to healthy food",Local,Urban,Nonprofit organization,"Chronic health conditions,Economically disadvantaged,Older adults,Racial and ethnic minorities","Primary research,Qualitative research,Quantitative research",Yes,Other funding,Completed
